"";"UF";"ETAPA";"REDE";"COR";"taxa_pd";"se.pd"
"1";"Brasil";"Pré-escola";"Rede privada";"Branca";0,552445038133801;0,0305980777925071
"2";"Brasil";"Pré-escola";"Rede privada";"Negra";0,446686204303023;0,0305943854384796
"3";"Brasil";"Pré-escola";"Rede privada";"Outros";0,000868757563176544;0,000897262497524292
"4";"Brasil";"Pré-escola";"Rede pública";"Branca";0,374324290444615;0,0179193852550701
"5";"Brasil";"Pré-escola";"Rede pública";"Negra";0,621195291598851;0,0179662669097878
"6";"Brasil";"Pré-escola";"Rede pública";"Outros";0,00448041795653337;0,00293362931855666
"7";"Brasil";"Regular do ensino fundamental";"Rede privada";"Branca";0,535210594234178;0,0180196870206091
"8";"Brasil";"Regular do ensino fundamental";"Rede privada";"Negra";0,448809057654093;0,0183888810364118
"9";"Brasil";"Regular do ensino fundamental";"Rede privada";"Outros";0,0159803481117285;0,00721692252709104
"10";"Brasil";"Regular do ensino fundamental";"Rede pública";"Branca";0,351164286886356;0,00795470517532392
"11";"Brasil";"Regular do ensino fundamental";"Rede pública";"Negra";0,644639029992792;0,00794780701419518
"12";"Brasil";"Regular do ensino fundamental";"Rede pública";"Outros";0,00419668312085213;0,00116196108709707
"13";"Brasil";"Regular do ensino médio";"Rede privada";"Branca";0,645082600116384;0,026438741568348
"14";"Brasil";"Regular do ensino médio";"Rede privada";"Negra";0,349888543781926;0,0266136925838638
"15";"Brasil";"Regular do ensino médio";"Rede privada";"Outros";0,00502885610169084;0,0036788901454803
"16";"Brasil";"Regular do ensino médio";"Rede pública";"Branca";0,397999621318413;0,0129679715983253
"17";"Brasil";"Regular do ensino médio";"Rede pública";"Negra";0,59738260649022;0,0127592710272917
"18";"Brasil";"Regular do ensino médio";"Rede pública";"Outros";0,00461777219136639;0,00148948689438218
"19";"Rondônia";"Pré-escola";"Rede privada";"Branca";1;0
"20";"Rondônia";"Pré-escola";"Rede privada";"Negra";0;0
"21";"Rondônia";"Pré-escola";"Rede privada";"Outros";0;0
"22";"Rondônia";"Pré-escola";"Rede pública";"Branca";0,133634705155522;0,0748297209847872
"23";"Rondônia";"Pré-escola";"Rede pública";"Negra";0,866365294844478;0,0748297209847872
"24";"Rondônia";"Pré-escola";"Rede pública";"Outros";0;0
"25";"Acre";"Pré-escola";"Rede privada";"Branca";0,417837197150717;0,229855403969307
"26";"Acre";"Pré-escola";"Rede privada";"Negra";0,582162802849283;0,229855403969307
"27";"Acre";"Pré-escola";"Rede privada";"Outros";0;0
"28";"Acre";"Pré-escola";"Rede pública";"Branca";0,179250407466797;0,077107624042884
"29";"Acre";"Pré-escola";"Rede pública";"Negra";0,787730255506515;0,0785034812907331
"30";"Acre";"Pré-escola";"Rede pública";"Outros";0,0330193370266885;0,0296557430959005
"31";"Amazonas";"Pré-escola";"Rede privada";"Branca";0,484928716992874;0,159924990989686
"32";"Amazonas";"Pré-escola";"Rede privada";"Negra";0,515071283007126;0,159924990989686
"33";"Amazonas";"Pré-escola";"Rede privada";"Outros";0;0
"34";"Amazonas";"Pré-escola";"Rede pública";"Branca";0,239663864408032;0,0795530415224808
"35";"Amazonas";"Pré-escola";"Rede pública";"Negra";0,760336135591968;0,0795530415224808
"36";"Amazonas";"Pré-escola";"Rede pública";"Outros";0;0
"37";"Roraima";"Pré-escola";"Rede privada";"Branca";0,546024620942642;0,338396239885028
"38";"Roraima";"Pré-escola";"Rede privada";"Negra";0,453975379057358;0,338396239885028
"39";"Roraima";"Pré-escola";"Rede privada";"Outros";0;0
"40";"Roraima";"Pré-escola";"Rede pública";"Branca";0,167159546726818;0,0624729752165981
"41";"Roraima";"Pré-escola";"Rede pública";"Negra";0,811337320649307;0,0646753531510683
"42";"Roraima";"Pré-escola";"Rede pública";"Outros";0,0215031326238748;0,0242653120574847
"43";"Pará";"Pré-escola";"Rede privada";"Branca";0,154728207857957;0,0764178193107461
"44";"Pará";"Pré-escola";"Rede privada";"Negra";0,845271792142043;0,0764178193107461
"45";"Pará";"Pré-escola";"Rede privada";"Outros";0;0
"46";"Pará";"Pré-escola";"Rede pública";"Branca";0,180561443318326;0,05162511875054
"47";"Pará";"Pré-escola";"Rede pública";"Negra";0,810238002690319;0,0524179812193227
"48";"Pará";"Pré-escola";"Rede pública";"Outros";0,0092005539913542;0,0095969161447615
"49";"Amapá";"Pré-escola";"Rede privada";"Branca";0,272901882417941;0,16928748920225
"50";"Amapá";"Pré-escola";"Rede privada";"Negra";0,727098117582059;0,16928748920225
"51";"Amapá";"Pré-escola";"Rede privada";"Outros";0;0
"52";"Amapá";"Pré-escola";"Rede pública";"Branca";0,17131643173581;0,172698415075334
"53";"Amapá";"Pré-escola";"Rede pública";"Negra";0,828683568264191;0,172698415075334
"54";"Amapá";"Pré-escola";"Rede pública";"Outros";0;0
"55";"Tocantins";"Pré-escola";"Rede pública";"Branca";0,209627907736299;0,100283311723011
"56";"Tocantins";"Pré-escola";"Rede pública";"Negra";0,790372092263701;0,100283311723011
"57";"Tocantins";"Pré-escola";"Rede pública";"Outros";0;0
"58";"Tocantins";"Pré-escola";NA;"Branca";NA;NA
"59";"Tocantins";"Pré-escola";NA;"Negra";NA;NA
"60";"Tocantins";"Pré-escola";NA;"Outros";NA;NA
"61";"Maranhão";"Pré-escola";"Rede privada";"Branca";0,161120163151806;0,123399921556869
"62";"Maranhão";"Pré-escola";"Rede privada";"Negra";0,838879836848194;0,123399921556869
"63";"Maranhão";"Pré-escola";"Rede privada";"Outros";0;0
"64";"Maranhão";"Pré-escola";"Rede pública";"Branca";0,183286266860363;0,0321658892551945
"65";"Maranhão";"Pré-escola";"Rede pública";"Negra";0,816713733139637;0,0321658892551945
"66";"Maranhão";"Pré-escola";"Rede pública";"Outros";0;0
"67";"Piauí";"Pré-escola";"Rede privada";"Branca";0,301512274376842;0,281405115801254
"68";"Piauí";"Pré-escola";"Rede privada";"Negra";0,698487725623158;0,281405115801254
"69";"Piauí";"Pré-escola";"Rede privada";"Outros";0;0
"70";"Piauí";"Pré-escola";"Rede pública";"Branca";0,153908269044493;0,0560658931825214
"71";"Piauí";"Pré-escola";"Rede pública";"Negra";0,846091730955507;0,0560658931825214
"72";"Piauí";"Pré-escola";"Rede pública";"Outros";0;0
"73";"Ceará";"Pré-escola";"Rede privada";"Branca";0,306499248257243;0,124201445059061
"74";"Ceará";"Pré-escola";"Rede privada";"Negra";0,693500751742757;0,124201445059061
"75";"Ceará";"Pré-escola";"Rede privada";"Outros";0;0
"76";"Ceará";"Pré-escola";"Rede pública";"Branca";0,247372878120525;0,0503744494339212
"77";"Ceará";"Pré-escola";"Rede pública";"Negra";0,738355225965325;0,0498327474453658
"78";"Ceará";"Pré-escola";"Rede pública";"Outros";0,0142718959141501;0,0135482537474696
"79";"Rio Grande do Norte";"Pré-escola";"Rede privada";"Branca";0,615793512895961;0,162539092350711
"80";"Rio Grande do Norte";"Pré-escola";"Rede privada";"Negra";0,384206487104039;0,162539092350711
"81";"Rio Grande do Norte";"Pré-escola";"Rede privada";"Outros";0;0
"82";"Rio Grande do Norte";"Pré-escola";"Rede pública";"Branca";0,322973910388789;0,098110699378922
"83";"Rio Grande do Norte";"Pré-escola";"Rede pública";"Negra";0,677026089611211;0,098110699378922
"84";"Rio Grande do Norte";"Pré-escola";"Rede pública";"Outros";0;0
"85";"Paraíba";"Pré-escola";"Rede privada";"Branca";0,588391886026956;0,134967413115428
"86";"Paraíba";"Pré-escola";"Rede privada";"Negra";0,411608113973044;0,134967413115428
"87";"Paraíba";"Pré-escola";"Rede privada";"Outros";0;0
"88";"Paraíba";"Pré-escola";"Rede pública";"Branca";0,400506494211574;0,0827514070883389
"89";"Paraíba";"Pré-escola";"Rede pública";"Negra";0,599493505788426;0,0827514070883389
"90";"Paraíba";"Pré-escola";"Rede pública";"Outros";0;0
"91";"Pernambuco";"Pré-escola";"Rede privada";"Branca";0,421997859149936;0,105871374337738
"92";"Pernambuco";"Pré-escola";"Rede privada";"Negra";0,578002140850064;0,105871374337738
"93";"Pernambuco";"Pré-escola";"Rede privada";"Outros";0;0
"94";"Pernambuco";"Pré-escola";"Rede pública";"Branca";0,215513841098311;0,0655315878627467
"95";"Pernambuco";"Pré-escola";"Rede pública";"Negra";0,784486158901689;0,0655315878627467
"96";"Pernambuco";"Pré-escola";"Rede pública";"Outros";0;0
"97";"Alagoas";"Pré-escola";"Rede privada";"Branca";0,346651739987989;0,110364151651788
"98";"Alagoas";"Pré-escola";"Rede privada";"Negra";0,653348260012011;0,110364151651788
"99";"Alagoas";"Pré-escola";"Rede privada";"Outros";0;0
"100";"Alagoas";"Pré-escola";"Rede pública";"Branca";0,275036669381932;0,0546940660682386
"101";"Alagoas";"Pré-escola";"Rede pública";"Negra";0,724963330618068;0,0546940660682386
"102";"Alagoas";"Pré-escola";"Rede pública";"Outros";0;0
"103";"Sergipe";"Pré-escola";"Rede privada";"Branca";0,106780611385433;0,118647471605913
"104";"Sergipe";"Pré-escola";"Rede privada";"Negra";0,893219388614567;0,118647471605913
"105";"Sergipe";"Pré-escola";"Rede privada";"Outros";0;0
"106";"Sergipe";"Pré-escola";"Rede pública";"Branca";0,0717585903010841;0,0620476894363196
"107";"Sergipe";"Pré-escola";"Rede pública";"Negra";0,928241409698916;0,0620476894363196
"108";"Sergipe";"Pré-escola";"Rede pública";"Outros";0;0
"109";"Bahia";"Pré-escola";"Rede privada";"Branca";0,283132971444262;0,0983143337177363
"110";"Bahia";"Pré-escola";"Rede privada";"Negra";0,716867028555738;0,0983143337177363
"111";"Bahia";"Pré-escola";"Rede privada";"Outros";0;0
"112";"Bahia";"Pré-escola";"Rede pública";"Branca";0,178720764436404;0,0588115610105653
"113";"Bahia";"Pré-escola";"Rede pública";"Negra";0,821279235563596;0,0588115610105653
"114";"Bahia";"Pré-escola";"Rede pública";"Outros";0;0
"115";"Minas Gerais";"Pré-escola";"Rede privada";"Branca";0,595221309370638;0,132505736267984
"116";"Minas Gerais";"Pré-escola";"Rede privada";"Negra";0,392112014435182;0,132617273032296
"117";"Minas Gerais";"Pré-escola";"Rede privada";"Outros";0,0126666761941798;0,0142620438067238
"118";"Minas Gerais";"Pré-escola";"Rede pública";"Branca";0,37346574589043;0,0500200101092347
"119";"Minas Gerais";"Pré-escola";"Rede pública";"Negra";0,62653425410957;0,0500200101092347
"120";"Minas Gerais";"Pré-escola";"Rede pública";"Outros";0;0
"121";"Espírito Santo";"Pré-escola";"Rede privada";"Branca";0,601734736113038;0,179458054049427
"122";"Espírito Santo";"Pré-escola";"Rede privada";"Negra";0,398265263886962;0,179458054049427
"123";"Espírito Santo";"Pré-escola";"Rede privada";"Outros";0;0
"124";"Espírito Santo";"Pré-escola";"Rede pública";"Branca";0,383347121940577;0,0636052133161504
"125";"Espírito Santo";"Pré-escola";"Rede pública";"Negra";0,616652878059423;0,0636052133161504
"126";"Espírito Santo";"Pré-escola";"Rede pública";"Outros";0;0
"127";"Rio de Janeiro";"Pré-escola";"Rede privada";"Branca";0,654335272402219;0,0798452123534543
"128";"Rio de Janeiro";"Pré-escola";"Rede privada";"Negra";0,34566472759778;0,0798452123534543
"129";"Rio de Janeiro";"Pré-escola";"Rede privada";"Outros";0;0
"130";"Rio de Janeiro";"Pré-escola";"Rede pública";"Branca";0,247913404807956;0,0523904405943031
"131";"Rio de Janeiro";"Pré-escola";"Rede pública";"Negra";0,752086595192044;0,0523904405943031
"132";"Rio de Janeiro";"Pré-escola";"Rede pública";"Outros";0;0
"133";"São Paulo";"Pré-escola";"Rede privada";"Branca";0,822041798425012;0,0891193632076894
"134";"São Paulo";"Pré-escola";"Rede privada";"Negra";0,177958201574988;0,0891193632076894
"135";"São Paulo";"Pré-escola";"Rede privada";"Outros";0;0
"136";"São Paulo";"Pré-escola";"Rede pública";"Branca";0,50634541185841;0,0553942891959143
"137";"São Paulo";"Pré-escola";"Rede pública";"Negra";0,480562999089066;0,0557271143352634
"138";"São Paulo";"Pré-escola";"Rede pública";"Outros";0,0130915890525244;0,0137278198332301
"139";"Paraná";"Pré-escola";"Rede privada";"Branca";0,636143886129845;0,182907214642838
"140";"Paraná";"Pré-escola";"Rede privada";"Negra";0,363856113870155;0,182907214642838
"141";"Paraná";"Pré-escola";"Rede privada";"Outros";0;0
"142";"Paraná";"Pré-escola";"Rede pública";"Branca";0,690466259445172;0,0556644009575166
"143";"Paraná";"Pré-escola";"Rede pública";"Negra";0,309533740554828;0,0556644009575166
"144";"Paraná";"Pré-escola";"Rede pública";"Outros";0;0
"145";"Santa Catarina";"Pré-escola";"Rede privada";"Branca";0,873966955594532;0,0848571328875096
"146";"Santa Catarina";"Pré-escola";"Rede privada";"Negra";0,126033044405468;0,0848571328875096
"147";"Santa Catarina";"Pré-escola";"Rede privada";"Outros";0;0
"148";"Santa Catarina";"Pré-escola";"Rede pública";"Branca";0,787489389656893;0,048370775273339
"149";"Santa Catarina";"Pré-escola";"Rede pública";"Negra";0,212510610343107;0,048370775273339
"150";"Santa Catarina";"Pré-escola";"Rede pública";"Outros";0;0
"151";"Rio Grande do Sul";"Pré-escola";"Rede privada";"Branca";0,816199622641491;0,143182837797597
"152";"Rio Grande do Sul";"Pré-escola";"Rede privada";"Negra";0,183800377358509;0,143182837797597
"153";"Rio Grande do Sul";"Pré-escola";"Rede privada";"Outros";0;0
"154";"Rio Grande do Sul";"Pré-escola";"Rede pública";"Branca";0,762913027195878;0,0506069799454498
"155";"Rio Grande do Sul";"Pré-escola";"Rede pública";"Negra";0,237086972804122;0,0506069799454498
"156";"Rio Grande do Sul";"Pré-escola";"Rede pública";"Outros";0;0
"157";"Mato Grosso do Sul";"Pré-escola";"Rede privada";"Branca";0,620823469089589;0,233569409667479
"158";"Mato Grosso do Sul";"Pré-escola";"Rede privada";"Negra";0,379176530910411;0,233569409667479
"159";"Mato Grosso do Sul";"Pré-escola";"Rede privada";"Outros";0;0
"160";"Mato Grosso do Sul";"Pré-escola";"Rede pública";"Branca";0,463169395713945;0,119077547946158
"161";"Mato Grosso do Sul";"Pré-escola";"Rede pública";"Negra";0,536830604286055;0,119077547946158
"162";"Mato Grosso do Sul";"Pré-escola";"Rede pública";"Outros";0;0
"163";"Mato Grosso";"Pré-escola";"Rede privada";"Branca";0,223713833183232;0,219703895213092
"164";"Mato Grosso";"Pré-escola";"Rede privada";"Negra";0,776286166816768;0,219703895213092
"165";"Mato Grosso";"Pré-escola";"Rede privada";"Outros";0;0
"166";"Mato Grosso";"Pré-escola";"Rede pública";"Branca";0,447808479705664;0,0731441381289443
"167";"Mato Grosso";"Pré-escola";"Rede pública";"Negra";0,552191520294336;0,0731441381289443
"168";"Mato Grosso";"Pré-escola";"Rede pública";"Outros";0;0
"169";"Goiás";"Pré-escola";"Rede privada";"Branca";0,701398160947838;0,101708448980903
"170";"Goiás";"Pré-escola";"Rede privada";"Negra";0,298601839052162;0,101708448980903
"171";"Goiás";"Pré-escola";"Rede privada";"Outros";0;0
"172";"Goiás";"Pré-escola";"Rede pública";"Branca";0,343370203503562;0,085852811784662
"173";"Goiás";"Pré-escola";"Rede pública";"Negra";0,645483293887551;0,0854327129979646
"174";"Goiás";"Pré-escola";"Rede pública";"Outros";0,0111465026088871;0,0118958544369908
"175";"Distrito Federal";"Pré-escola";"Rede privada";"Branca";0,420075404245473;0,189301158892209
"176";"Distrito Federal";"Pré-escola";"Rede privada";"Negra";0,579924595754527;0,189301158892209
"177";"Distrito Federal";"Pré-escola";"Rede privada";"Outros";0;0
"178";"Distrito Federal";"Pré-escola";"Rede pública";"Branca";0,239813234324107;0,0873975653836622
"179";"Distrito Federal";"Pré-escola";"Rede pública";"Negra";0,760186765675893;0,0873975653836622
"180";"Distrito Federal";"Pré-escola";"Rede pública";"Outros";0;0
"181";"Rondônia";"Regular do ensino fundamental";"Rede privada";"Branca";0,623307291367839;0,212601118922864
"182";"Rondônia";"Regular do ensino fundamental";"Rede privada";"Negra";0,376692708632161;0,212601118922864
"183";"Rondônia";"Regular do ensino fundamental";"Rede privada";"Outros";0;0
"184";"Rondônia";"Regular do ensino fundamental";"Rede pública";"Branca";0,146362542420096;0,0257332955194083
"185";"Rondônia";"Regular do ensino fundamental";"Rede pública";"Negra";0,849546639212137;0,026070115757392
"186";"Rondônia";"Regular do ensino fundamental";"Rede pública";"Outros";0,0040908183677663;0,00431658636586352
"187";"Acre";"Regular do ensino fundamental";"Rede privada";"Branca";0,37559915681542;0,126862463663453
"188";"Acre";"Regular do ensino fundamental";"Rede privada";"Negra";0,62440084318458;0,126862463663453
"189";"Acre";"Regular do ensino fundamental";"Rede privada";"Outros";0;0
"190";"Acre";"Regular do ensino fundamental";"Rede pública";"Branca";0,161122203810202;0,0324999238084458
"191";"Acre";"Regular do ensino fundamental";"Rede pública";"Negra";0,832016497458405;0,0318164574701528
"192";"Acre";"Regular do ensino fundamental";"Rede pública";"Outros";0,00686129873139362;0,00571640601368421
"193";"Amazonas";"Regular do ensino fundamental";"Rede privada";"Branca";0,193265391830924;0,0868646303479903
"194";"Amazonas";"Regular do ensino fundamental";"Rede privada";"Negra";0,806734608169076;0,0868646303479903
"195";"Amazonas";"Regular do ensino fundamental";"Rede privada";"Outros";0;0
"196";"Amazonas";"Regular do ensino fundamental";"Rede pública";"Branca";0,128521625844456;0,0224067653476989
"197";"Amazonas";"Regular do ensino fundamental";"Rede pública";"Negra";0,864646452690891;0,0221541507203649
"198";"Amazonas";"Regular do ensino fundamental";"Rede pública";"Outros";0,0068319214646537;0,00355141037866825
"199";"Roraima";"Regular do ensino fundamental";"Rede privada";"Branca";0,312283062001695;0,220682356619395
"200";"Roraima";"Regular do ensino fundamental";"Rede privada";"Negra";0,687716937998305;0,220682356619395
"201";"Roraima";"Regular do ensino fundamental";"Rede privada";"Outros";0;0
