"";"UF";"ETAPA";"COR";"taxa_pd";"se.pd"
"1";"Brasil";"Pré-escola";"Branca";0,416373088615356;0,00832783633038901
"2";"Brasil";"Pré-escola";"Negra";0,57718966359452;0,0084333084077633
"3";"Brasil";"Pré-escola";"Outros";0,00643724779012431;0,0013003422045984
"4";"Brasil";"Regular do ensino fundamental";"Branca";0,377963681055397;0,00357313571841409
"5";"Brasil";"Regular do ensino fundamental";"Negra";0,613748342287207;0,00360208110841377
"6";"Brasil";"Regular do ensino fundamental";"Outros";0,00828797665739626;0,000629556369079871
"7";"Brasil";"Regular do ensino médio";"Branca";0,386544756537212;0,00560620732194367
"8";"Brasil";"Regular do ensino médio";"Negra";0,605022594115378;0,0056106364382312
"9";"Brasil";"Regular do ensino médio";"Outros";0,00843264934740996;0,000969360408511823
"10";"Rondônia";"Pré-escola";"Branca";0,316292272982897;0,0725254158892127
"11";"Rondônia";"Pré-escola";"Negra";0,676464293673522;0,0730844534075122
"12";"Rondônia";"Pré-escola";"Outros";0,00724343334358076;0,00768133690056678
"13";"Acre";"Pré-escola";"Branca";0,136850036393759;0,0296695348915038
"14";"Acre";"Pré-escola";"Negra";0,852085960202359;0,0314004986020281
"15";"Acre";"Pré-escola";"Outros";0,0110640034038822;0,0107979129486963
"16";"Amazonas";"Pré-escola";"Branca";0,231078662005187;0,0285810158464404
"17";"Amazonas";"Pré-escola";"Negra";0,745634676901664;0,0310843280518929
"18";"Amazonas";"Pré-escola";"Outros";0,0232866610931493;0,0103921820735819
"19";"Roraima";"Pré-escola";"Branca";0,186958697791923;0,0425796526824077
"20";"Roraima";"Pré-escola";"Negra";0,745179784538753;0,0408304334982259
"21";"Roraima";"Pré-escola";"Outros";0,0678615176693243;0,0277352877771894
"22";"Pará";"Pré-escola";"Branca";0,211317947039345;0,0342646127289598
"23";"Pará";"Pré-escola";"Negra";0,785078337897532;0,0341427434523021
"24";"Pará";"Pré-escola";"Outros";0,00360371506312296;0,00273432591460326
"25";"Amapá";"Pré-escola";"Branca";0,2235029554638;0,0612612552275217
"26";"Amapá";"Pré-escola";"Negra";0,746677509878806;0,0543760947203212
"27";"Amapá";"Pré-escola";"Outros";0,0298195346573943;0,0266695060963716
"28";"Tocantins";"Pré-escola";"Branca";0,222204415773015;0,0519660292417533
"29";"Tocantins";"Pré-escola";"Negra";0,757443233975981;0,0591797131722937
"30";"Tocantins";"Pré-escola";"Outros";0,0203523502510049;0,018143937266427
"31";"Maranhão";"Pré-escola";"Branca";0,166687724233817;0,018931015590756
"32";"Maranhão";"Pré-escola";"Negra";0,822017406156011;0,01914333594781
"33";"Maranhão";"Pré-escola";"Outros";0,011294869610172;0,00623924299587415
"34";"Piauí";"Pré-escola";"Branca";0,19743393293315;0,0314317150416078
"35";"Piauí";"Pré-escola";"Negra";0,7963587747878;0,0329889360968191
"36";"Piauí";"Pré-escola";"Outros";0,00620729227905024;0,00580830084166241
"37";"Ceará";"Pré-escola";"Branca";0,300271661859562;0,0321637442972428
"38";"Ceará";"Pré-escola";"Negra";0,691135209575125;0,0324383066119228
"39";"Ceará";"Pré-escola";"Outros";0,00859312856531311;0,00618752324078881
"40";"Rio Grande do Norte";"Pré-escola";"Branca";0,370068502801686;0,045604504971422
"41";"Rio Grande do Norte";"Pré-escola";"Negra";0,629931497198314;0,045604504971422
"42";"Rio Grande do Norte";"Pré-escola";"Outros";0;0
"43";"Paraíba";"Pré-escola";"Branca";0,376128007778935;0,040152363092919
"44";"Paraíba";"Pré-escola";"Negra";0,620710280173292;0,0402254407701096
"45";"Paraíba";"Pré-escola";"Outros";0,00316171204777286;0,00320590826921573
"46";"Pernambuco";"Pré-escola";"Branca";0,335335377213248;0,0341436555311515
"47";"Pernambuco";"Pré-escola";"Negra";0,654395191014697;0,0347588916192788
"48";"Pernambuco";"Pré-escola";"Outros";0,010269431772055;0,00778061066855714
"49";"Alagoas";"Pré-escola";"Branca";0,281733135799352;0,0324077459288452
"50";"Alagoas";"Pré-escola";"Negra";0,716559594797696;0,0322564250346638
"51";"Alagoas";"Pré-escola";"Outros";0,00170726940295249;0,00187785043203325
"52";"Sergipe";"Pré-escola";"Branca";0,250475431339295;0,0409387965995892
"53";"Sergipe";"Pré-escola";"Negra";0,749524568660705;0,0409387965995891
"54";"Sergipe";"Pré-escola";"Outros";0;0
"55";"Bahia";"Pré-escola";"Branca";0,180012132099334;0,0233581602578272
