"";"UF";"ETAPA";"COR";"total_pd";"se.pd"
"1";"Brasil";"Pré-escola";"Branca";1287700,03800413;33764,9300350274
"2";"Brasil";"Pré-escola";"Negra";1785050,88841816;36502,2004827203
"3";"Brasil";"Pré-escola";"Outros";19908,21321222;4002,76057209146
"4";"Brasil";"Regular do ensino fundamental";"Branca";10603281,3733505;105986,627290324
"5";"Brasil";"Regular do ensino fundamental";"Negra";17217914,5560413;110499,049603443
"6";"Brasil";"Regular do ensino fundamental";"Outros";232508,44702524;17608,0308383561
"7";"Brasil";"Regular do ensino médio";"Branca";3224089,29957304;53700,6883786578
"8";"Brasil";"Regular do ensino médio";"Negra";5046367,43533094;65766,8978481439
"9";"Brasil";"Regular do ensino médio";"Outros";70334,97174193;8103,65203816347
"10";"Rondônia";"Pré-escola";"Branca";6614,08342687;1669,65585889727
"11";"Rondônia";"Pré-escola";"Negra";14145,74953558;2844,20435467904
"12";"Rondônia";"Pré-escola";"Outros";151,46962643;152,378666841822
"13";"Acre";"Pré-escola";"Branca";2109,62061059;496,748145014311
"14";"Acre";"Pré-escola";"Negra";13135,38637626;1206,22978773278
"15";"Acre";"Pré-escola";"Outros";170,55786196;164,527581622052
"16";"Amazonas";"Pré-escola";"Branca";15690,01727323;2105,49985636131
"17";"Amazonas";"Pré-escola";"Negra";50627,87216521;4407,31179718986
"18";"Amazonas";"Pré-escola";"Outros";1581,14172731;695,47053519025
"19";"Roraima";"Pré-escola";"Branca";2841,89657909;660,55785070097
"20";"Roraima";"Pré-escola";"Negra";11327,22844938;1418,56883374037
"21";"Roraima";"Pré-escola";"Outros";1031,54021286;489,356509709097
"22";"Pará";"Pré-escola";"Branca";33584,15304611;6639,28996824001
"23";"Pará";"Pré-escola";"Negra";124770,24040096;8196,51558500112
"24";"Pará";"Pré-escola";"Outros";572,72806172;434,495246417639
"25";"Amapá";"Pré-escola";"Branca";3178,20891928;922,185518764164
"26";"Amapá";"Pré-escola";"Negra";10617,74380924;1936,65040019088
