"";"UF";"ETAPA";"COR";"taxa_pd";"se.pd"
"1";"Brasil";"EJA";"Branca";0,28721953562895;0,0105815538815593
"2";"Brasil";"EJA";"Negra";0,703710511235262;0,0107593020116454
"3";"Brasil";"EJA";"Outros";0,00906995313578855;0,00165861725813644
"4";"Rondônia";"EJA";"Branca";0,136980135261185;0,0596233163011705
"5";"Rondônia";"EJA";"Negra";0,863019864738815;0,0596233163011705
"6";"Rondônia";"EJA";"Outros";0;0
"7";"Acre";"EJA";"Branca";0,109457339634598;0,0302128303189901
"8";"Acre";"EJA";"Negra";0,869329242406929;0,0318744710756394
"9";"Acre";"EJA";"Outros";0,0212134179584736;0,0131410673365094
"10";"Amazonas";"EJA";"Branca";0,0845007427780093;0,0232013923738281
"11";"Amazonas";"EJA";"Negra";0,858269169680587;0,0332183192344936
"12";"Amazonas";"EJA";"Outros";0,0572300875414034;0,0294175963785621
"13";"Roraima";"EJA";"Branca";0,174869735415718;0,0475578530680003
"14";"Roraima";"EJA";"Negra";0,774856950155667;0,0550637370313985
"15";"Roraima";"EJA";"Outros";0,0502733144286147;0,0215358169146161
"16";"Pará";"EJA";"Branca";0,104032305538596;0,0206912806461632
"17";"Pará";"EJA";"Negra";0,891600644533679;0,0212736375848899
"18";"Pará";"EJA";"Outros";0,00436704992772487;0,00444417203380958
"19";"Amapá";"EJA";"Branca";0,0627561983331756;0,042435993932137
"20";"Amapá";"EJA";"Negra";0,937243801666824;0,042435993932137
"21";"Amapá";"EJA";"Outros";0;0
"22";"Tocantins";"EJA";"Branca";0,225233828769511;0,102324087903727
"23";"Tocantins";"EJA";"Negra";0,774766171230489;0,102324087903727
"24";"Tocantins";"EJA";"Outros";0;0
"25";"Maranhão";"EJA";"Branca";0,151520884416433;0,0305228435248675
"26";"Maranhão";"EJA";"Negra";0,816223415943221;0,0358782038924868
"27";"Maranhão";"EJA";"Outros";0,0322556996403453;0,0217541607455608
"28";"Piauí";"EJA";"Branca";0,103200459104026;0,0349061446322936
"29";"Piauí";"EJA";"Negra";0,896799540895974;0,0349061446322936
"30";"Piauí";"EJA";"Outros";0;0
"31";"Ceará";"EJA";"Branca";0,260960899795684;0,0416053292551094
"32";"Ceará";"EJA";"Negra";0,730201826408426;0,0414845564938395
"33";"Ceará";"EJA";"Outros";0,00883727379589002;0,00640504150883497
"34";"Rio Grande do Norte";"EJA";"Branca";0,277359391738856;0,0434076345127194
"35";"Rio Grande do Norte";"EJA";"Negra";0,722640608261144;0,0434076345127194
"36";"Rio Grande do Norte";"EJA";"Outros";0;0
"37";"Paraíba";"EJA";"Branca";0,259336100655143;0,0459530953537649
"38";"Paraíba";"EJA";"Negra";0,740663899344857;0,0459530953537649
"39";"Paraíba";"EJA";"Outros";0;0
"40";"Pernambuco";"EJA";"Branca";0,311239910020231;0,0383010405941698
"41";"Pernambuco";"EJA";"Negra";0,681925830911314;0,0380871159139759
"42";"Pernambuco";"EJA";"Outros";0,00683425906845533;0,00511059268336691
"43";"Alagoas";"EJA";"Branca";0,154691071223622;0,0281072089974557
"44";"Alagoas";"EJA";"Negra";0,834867575131132;0,0292155297915143
"45";"Alagoas";"EJA";"Outros";0,0104413536452462;0,00741733652563913
"46";"Sergipe";"EJA";"Branca";0,147459384270795;0,0309003550385654
"47";"Sergipe";"EJA";"Negra";0,852540615729205;0,0309003550385654
"48";"Sergipe";"EJA";"Outros";0;0
"49";"Bahia";"EJA";"Branca";0,0744090358325185;0,0175959489879373
"50";"Bahia";"EJA";"Negra";0,91517412467654;0,0181265810782123
"51";"Bahia";"EJA";"Outros";0,0104168394909418;0,0070917794631356
"52";"Minas Gerais";"EJA";"Branca";0,235388244625068;0,033369705797605
"53";"Minas Gerais";"EJA";"Negra";0,764611755374932;0,033369705797605
"54";"Minas Gerais";"EJA";"Outros";0;0
"55";"Espírito Santo";"EJA";"Branca";0,157278628332901;0,0333614693591499
"56";"Espírito Santo";"EJA";"Negra";0,83262394814181;0,0334755895868751
"57";"Espírito Santo";"EJA";"Outros";0,0100974235252887;0,00765820357156384
"58";"Rio de Janeiro";"EJA";"Branca";0,355134811827264;0,0525261427868657
"59";"Rio de Janeiro";"EJA";"Negra";0,644865188172736;0,0525261427868657
"60";"Rio de Janeiro";"EJA";"Outros";0;0
"61";"São Paulo";"EJA";"Branca";0,439256949310536;0,043798268562909
"62";"São Paulo";"EJA";"Negra";0,553222754977428;0,0438355321435344
"63";"São Paulo";"EJA";"Outros";0,00752029571203637;0,00636542928641336
"64";"Paraná";"EJA";"Branca";0,479405841198756;0,0438381386133605
"65";"Paraná";"EJA";"Negra";0,506473834341421;0,0446108074484695
"66";"Paraná";"EJA";"Outros";0,0141203244598232;0,00819837096081278
"67";"Santa Catarina";"EJA";"Branca";0,648474847271031;0,0380914104968941
"68";"Santa Catarina";"EJA";"Negra";0,341258319675366;0,038783952589845
"69";"Santa Catarina";"EJA";"Outros";0,0102668330536026;0,00794942832243161
"70";"Rio Grande do Sul";"EJA";"Branca";0,666765807479059;0,0550733591625476
"71";"Rio Grande do Sul";"EJA";"Negra";0,321852903677713;0,0544513765853933
"72";"Rio Grande do Sul";"EJA";"Outros";0,0113812888432276;0,00893415954999311
"73";"Mato Grosso do Sul";"EJA";"Branca";0,329142750973648;0,0540060211538851
"74";"Mato Grosso do Sul";"EJA";"Negra";0,645943309488367;0,0526641113971122
"75";"Mato Grosso do Sul";"EJA";"Outros";0,0249139395379843;0,0165212326882124
"76";"Mato Grosso";"EJA";"Branca";0,187194109083096;0,0434282744603171
"77";"Mato Grosso";"EJA";"Negra";0,802857145535431;0,0448437798854621
"78";"Mato Grosso";"EJA";"Outros";0,00994874538147317;0,00988081157546634
"79";"Goiás";"EJA";"Branca";0,206819604122189;0,0451914749477197
"80";"Goiás";"EJA";"Negra";0,793180395877811;0,0451914749477196
"81";"Goiás";"EJA";"Outros";0;0
"82";"Distrito Federal";"EJA";"Branca";0,172959648991406;0,0432279039055005
"83";"Distrito Federal";"EJA";"Negra";0,813424768885264;0,0460816488968567
"84";"Distrito Federal";"EJA";"Outros";0,0136155821233296;0,0130405163998259
